RA,DEC,kic_kepler_id,Tef,logg,[Fe/H],m_g,dist(pc),M_g,BC,M_bol,L,e_L,R,e_R,M,e_M
282.276089973,44.163733907,8212746,5455.0,4.45,-0.29,15.8953152,1123.84546,5.64,0.034,5.68,0.42,0.01,0.73,0.01,0.9,0.06
282.276377056,44.1481525655,8212748,5664.0,4.34,-0.02,16.3741093,1858.4556899999998,5.03,0.073,5.1,0.72,0.01,0.88,0.01,1.04,0.07
282.290723715,44.1193670051,8212768,5949.0,4.03,-0.28,15.906787900000001,5588.68604,2.17,0.054,2.22,10.15,0.21,3.01,0.03,1.18,0.08
282.295106841,44.161932255,8212775,5096.0,4.6,0.15,15.287687300000002,768.477295,5.86,-0.005,5.85,0.36,0.01,0.77,0.0,0.87,0.06
282.30123078599996,44.15916063970001,8212787,5635.0,4.39,-0.18,14.755312900000002,853.032959,5.1,0.073,5.17,0.67,0.01,0.86,0.01,0.98,0.06
282.313293007,44.162890410799996,8212810,6197.0,4.23,-0.34,15.4095945,1611.1557599999999,4.37,0.067,4.44,1.32,0.03,1.0,0.01,1.14,0.07
282.34252577,44.175020251099994,8212878,5822.0,4.18,0.09,14.943289800000002,1405.93591,4.2,0.075,4.28,1.53,0.03,1.22,0.01,1.17,0.07
282.343659987,44.1498564263,8212883,5964.0,4.21,-0.88,17.231809600000002,3201.66479,4.7,0.028,4.73,1.01,0.02,0.94,0.01,0.96,0.06
282.348730508,44.1430972671,8212891,5991.0,4.27,-0.24,15.320474599999999,1407.13672,4.58,0.077,4.66,1.08,0.02,0.97,0.01,1.1,0.07
282.369475507,44.159350341899994,8212931,5556.0,4.37,-0.51,16.7031384,1746.68237,5.49,0.034,5.53,0.48,0.01,0.75,0.01,0.9,0.06
282.372128804,44.1637196689,8212937,5905.0,4.13,-0.6,16.9396362,3533.9804700000004,4.2,0.054,4.25,1.57,0.03,1.2,0.01,1.04,0.07
282.433444839,44.102418496599995,8213084,5667.0,4.36,-0.47,16.0765152,1446.59277,5.27,0.046,5.32,0.59,0.01,0.8,0.01,0.93,0.06
282.439302449,44.198232519899996,8213096,5691.0,4.39,-0.42,16.6809196,1600.44958,5.66,0.046,5.71,0.41,0.01,0.66,0.01,0.94,0.06
282.470140339,44.1577682225,8213133,5766.0,4.33,-0.18,15.7816429,1475.32898,4.94,0.073,5.01,0.78,0.02,0.89,0.01,1.03,0.07
282.472506366,44.145996842799995,8213141,5574.0,4.48,-0.1,14.839058900000001,711.570862,5.58,0.054,5.63,0.44,0.01,0.71,0.01,0.96,0.06
282.479137792,44.181030846700004,8213151,5416.0,3.94,-0.35,15.414385800000002,2120.0708,3.78,0.036,3.82,2.34,0.05,1.74,0.01,1.05,0.07
282.491845871,44.181845357700006,8213170,5005.0,2.47,-0.58,14.729429199999998,8051.2666,0.2,0.0,0.2,65.44,1.33,10.79,0.06,2.39,0.15
282.493613297,44.193686873800004,8213174,5584.0,4.34,-0.19,15.8742704,1557.59106,4.91,0.054,4.97,0.81,0.02,0.97,0.01,0.98,0.06
282.497066915,44.1727158376,8213182,5851.0,4.21,-0.78,16.5638046,2231.72095,4.82,0.024,4.84,0.91,0.02,0.93,0.01,0.96,0.06
282.508986598,44.125289388999995,8213194,5947.0,4.05,-0.69,16.9546299,3489.2153299999995,4.24,0.054,4.3,1.51,0.03,1.16,0.01,1.06,0.07
282.51711131400003,44.112693756000006,8213205,4780.0,2.92,-0.36,14.055767999999999,2675.0913100000002,1.92,-0.067,1.85,14.29,0.29,5.53,0.03,1.65,0.11
282.523801752,44.144933155299995,8213221,5267.0,4.44,-0.19,14.725956900000002,925.789124,4.89,0.024,4.92,0.85,0.02,1.11,0.01,0.87,0.06
282.52599501099996,44.1055951084,8213227,6165.0,4.11,-0.28,13.827611,1348.86707,3.18,0.067,3.25,3.96,0.08,1.75,0.02,1.2,0.08
282.53160023099997,44.1406535887,8213239,5652.0,3.92,-0.68,16.443182,3771.0900899999997,3.56,0.049,3.61,2.83,0.06,1.76,0.02,1.05,0.07
282.545061492,44.1624037,8213265,5404.0,4.48,-0.22,16.2127762,1424.85706,5.44,0.054,5.5,0.5,0.01,0.81,0.01,0.89,0.06
282.570499004,44.10146901270001,8213303,5771.0,4.06,-0.69,16.1275902,2791.97461,3.9,0.051,3.95,2.07,0.04,1.44,0.01,1.01,0.06
282.588858966,44.1007809459,8213332,5467.0,4.1,-0.27,16.5469112,2964.0734899999998,4.19,0.036,4.22,1.61,0.03,1.42,0.01,1.01,0.06
282.593362227,44.1970139221,8213344,6359.0,4.19,-0.45,16.0112953,2945.67627,3.67,0.069,3.73,2.52,0.05,1.31,0.02,1.17,0.07
282.619338418,44.166517104899995,8213389,6282.0,4.11,-0.18,15.441227900000001,2229.40503,3.7,0.1,3.8,2.38,0.05,1.3,0.02,1.26,0.08
282.627460071,44.1666525287,8213403,5719.0,4.23,-0.17,15.874066399999998,1962.9117399999998,4.41,0.075,4.48,1.27,0.03,1.15,0.01,1.06,0.07
282.64480884799997,44.1998447382,8213426,5244.0,3.6,-0.77,15.8585358,3725.3335,3.0,0.007,3.01,4.92,0.1,2.7,0.02,1.09,0.07
282.65678444400004,44.123002790200005,8213449,5970.0,4.2,-0.75,16.5804367,2456.0874,4.63,0.028,4.66,1.08,0.02,0.97,0.01,0.99,0.06
282.65847085400003,44.1873331917,8213452,5791.0,4.14,-0.61,16.1783085,2498.65747,4.19,0.051,4.24,1.58,0.03,1.25,0.01,1.0,0.06
282.65903823400004,44.175283391899995,8213453,5017.0,3.61,0.01,15.4248171,2497.6552699999997,3.44,0.004,3.44,3.31,0.07,2.41,0.01,1.21,0.08
282.661814973,44.1475064668,8213457,5523.0,4.38,-0.06,16.221427900000002,1830.5983899999999,4.91,0.054,4.96,0.81,0.02,0.99,0.01,0.98,0.06
282.678209941,44.10478715439999,8213474,6145.0,4.23,-0.34,14.5184126,1237.01562,4.06,0.067,4.12,1.76,0.04,1.18,0.02,1.13,0.07
282.686079185,44.142909197799995,8213491,5714.0,4.35,-0.18,15.785433800000002,1359.2771,5.12,0.073,5.19,0.66,0.01,0.83,0.01,1.01,0.06
282.69420190799997,44.178426274799996,8213503,6131.0,,-0.12,,,,,,,,,,,
282.70962709400004,44.108686259799995,8213531,6252.0,4.09,-0.08,12.9855719,894.790344,3.23,0.1,3.33,3.67,0.07,1.64,0.02,1.3,0.08
282.73597024599997,44.166087386,8213578,5938.0,4.13,-0.37,16.4188042,2981.37451,4.05,0.054,4.1,1.8,0.04,1.27,0.01,1.11,0.07
282.744637303,44.152879474399995,8213595,5760.0,4.12,-0.61,16.640602100000002,2763.69019,4.43,0.051,4.48,1.27,0.03,1.13,0.01,1.0,0.06
282.747108178,44.17014611,8213603,5774.0,4.17,-0.52,16.7287807,2703.4841300000007,4.57,0.051,4.62,1.12,0.02,1.06,0.01,1.01,0.06
282.754524847,44.196178968699996,8213613,4746.0,2.54,-0.12,14.050420800000001,4321.25146,0.87,-0.053,0.82,37.01,0.75,9.02,0.04,2.32,0.15
282.778769279,44.1690500343,8213670,5997.0,4.1,-0.61,16.853641500000002,3020.18164,4.45,0.054,4.51,1.24,0.03,1.03,0.01,1.08,0.07
282.788260796,44.1954333805,8213689,6060.0,4.19,-0.62,16.1352978,2516.7150899999997,4.13,0.054,4.19,1.67,0.03,1.17,0.01,1.05,0.07
282.794597756,44.106221113400004,8213700,5834.0,4.27,-0.33,16.4125862,2179.1865199999997,4.72,0.048,4.77,0.97,0.02,0.97,0.01,1.04,0.07
282.79510019400004,44.1838437817,8213703,5245.0,4.53,-0.12,15.620806699999996,890.0480349999997,5.87,0.023,5.9,0.34,0.01,0.71,0.0,0.87,0.06
282.816149246,44.1699642038,8213752,5708.0,4.13,-0.53,17.054544399999994,4764.35791,3.66,0.049,3.71,2.57,0.05,1.65,0.02,1.01,0.06
282.81812276799997,44.1067754577,8213755,5581.0,4.42,-0.21,15.1810589,895.706726,5.42,0.054,5.47,0.51,0.01,0.76,0.01,0.95,0.06
282.821205948,44.1514571965,8213765,5823.0,4.11,-0.21,15.4875984,2236.57764,3.74,0.075,3.81,2.34,0.05,1.51,0.02,1.12,0.07
282.827903543,44.1900780058,8213776,6282.0,4.12,-0.18,13.286087,1032.70886,3.22,0.1,3.32,3.71,0.08,1.63,0.02,1.26,0.08
282.841228076,44.1409892661,8213789,5968.0,4.12,-1.03,15.5877552,2091.86108,3.99,0.028,4.01,1.95,0.04,1.31,0.02,0.96,0.06
282.847197393,44.1563611042,8213802,5873.0,4.19,-0.46,16.9552422,4082.0673799999995,3.9,0.051,3.95,2.07,0.04,1.39,0.02,1.04,0.07
282.852598266,44.1871039211,8213814,5769.0,4.2,0.07,14.5899458,1153.92578,4.28,0.075,4.35,1.43,0.03,1.2,0.01,1.15,0.07
282.855132699,44.1484900472,8213816,5721.0,4.23,-0.13,15.747757,1711.93689,4.58,0.075,4.66,1.08,0.02,1.06,0.01,1.07,0.07
282.855747907,44.160536912299996,8213817,5298.0,3.79,-0.16,16.3668156,5214.5293,2.78,0.025,2.81,5.94,0.12,2.9,0.02,1.15,0.07
282.85683085799997,44.1015445867,8213818,6217.0,4.18,-0.76,16.7904701,2978.10791,4.42,0.045,4.47,1.29,0.03,0.98,0.01,1.06,0.07
282.861066656,44.1871135777,8213823,4857.0,3.21,-0.35,14.055627800000002,2176.15747,2.37,-0.065,2.3,9.44,0.19,4.35,0.02,1.37,0.09
282.86163813900004,44.1715849456,8213825,5459.0,4.38,-0.1,15.2702208,1006.21954,5.26,0.054,5.31,0.59,0.01,0.86,0.01,0.96,0.06
282.865074656,44.1669530295,8213829,5809.0,4.12,-0.6,15.6393929,1971.0683600000002,4.17,0.051,4.22,1.62,0.03,1.26,0.01,1.02,0.07
282.865834559,44.1238438239,8213831,5677.0,4.24,-0.02,15.2599258,1412.87427,4.51,0.075,4.58,1.15,0.02,1.11,0.01,1.08,0.07
282.87337481599997,44.12582990470001,8213839,4544.0,2.38,-0.56,15.2176495,9813.99219,0.26,-0.14,0.12,70.55,1.43,13.59,0.05,2.22,0.14
282.899485245,44.1232060058,8213881,5660.0,4.1,-0.91,17.082988699999998,4860.21289,3.65,0.023,3.67,2.67,0.05,1.7,0.02,0.92,0.06
282.922484931,44.111876948500004,8213918,6065.0,4.13,-0.45,16.960329100000006,3950.3103,3.98,0.054,4.03,1.92,0.04,1.26,0.02,1.12,0.07
282.935656814,44.1265703603,8213938,5850.0,4.03,-0.24,13.1676388,883.1552730000003,3.44,0.075,3.51,3.1,0.06,1.72,0.02,1.16,0.07
282.936422872,44.1082341687,8213941,5150.0,3.4,-0.09,15.674076999999999,4457.48096,2.43,0.029,2.46,8.19,0.17,3.6,0.02,1.41,0.09
282.95394056599997,44.107202487399995,8213968,5287.0,4.52,-0.47,15.749151199999998,1173.3400900000001,5.4,0.018,5.42,0.53,0.01,0.87,0.01,0.81,0.05
282.968492447,44.099971636899994,8213995,5071.0,3.92,-0.11,15.714252499999999,2180.25,4.02,-0.004,4.02,1.94,0.04,1.81,0.01,1.01,0.06
282.971163456,44.1183903603,8214001,6010.0,3.99,-0.26,14.694714499999998,2260.61011,2.92,0.054,2.98,5.07,0.1,2.08,0.02,1.23,0.08
282.978466917,44.122503410200004,8214022,5136.0,3.42,0.01,15.4463282,3502.972410000001,2.72,0.029,2.75,6.23,0.13,3.16,0.02,1.41,0.09
282.98194275,44.107900665100004,8214029,5690.0,4.29,-0.96,15.8323326,1500.69849,4.95,0.024,4.98,0.81,0.02,0.93,0.01,0.86,0.06
282.995970983,44.101422499499996,8214054,5797.0,4.14,-0.74,16.682645800000003,2989.50342,4.3,0.051,4.36,1.42,0.03,1.19,0.01,0.98,0.06
283.015971096,44.1227840563,8214100,5842.0,4.29,-0.35,14.6093674,965.488342,4.69,0.048,4.73,1.01,0.02,0.98,0.01,1.03,0.07
283.024780101,44.1325388268,8214118,6555.0,4.14,-0.52,15.299412699999998,4576.49902,2.0,0.079,2.08,11.64,0.24,2.65,0.04,1.23,0.08
283.03033786,44.1561908757,8214132,5287.0,4.57,-0.05,13.819731699999998,433.07309000000004,5.64,0.023,5.66,0.43,0.01,0.78,0.01,0.88,0.06
283.04662052099997,44.159679383400004,8214178,5681.0,4.25,-0.16,15.1874657,1276.52917,4.66,0.073,4.73,1.01,0.02,1.04,0.01,1.04,0.07
283.051991933,44.139806372799995,8214191,5560.0,4.43,-0.03,13.0779476,387.07827799999995,5.14,0.054,5.19,0.66,0.01,0.88,0.01,0.99,0.06
283.060785073,44.1177964013,8214211,5947.0,3.93,-0.22,14.2524195,1852.44458,2.91,0.079,2.99,5.0,0.1,2.11,0.02,1.25,0.08
283.065113291,44.1391998088,8214223,5795.0,4.13,-0.02,15.489885300000001,1926.6344,4.07,0.075,4.14,1.74,0.04,1.31,0.01,1.16,0.07
283.068755199,44.1318922861,8214226,5800.0,4.31,-0.17,15.071211800000002,1117.4791300000004,4.83,0.073,4.9,0.86,0.02,0.92,0.01,1.05,0.07
283.09410241,44.1739805464,8214259,5712.0,4.37,-0.28,14.9500875,906.857117,5.16,0.046,5.21,0.65,0.01,0.83,0.01,0.98,0.06
283.096211768,44.1846794078,8214267,5696.0,,-0.16,,,,,,,,,,,
283.103954226,44.1855896186,8214275,4955.0,2.33,-1.35,14.496040300000002,5466.9370100000015,0.81,-0.021,0.79,38.13,0.77,8.4,0.05,2.22,0.14
283.10585522900004,44.1498215542,8214278,6242.0,4.2,-0.27,13.6451731,935.219299,3.79,0.067,3.86,2.25,0.05,1.29,0.02,1.18,0.08
283.106182812,44.177085649700004,8214280,5804.0,4.2,-0.57,16.343101500000003,2388.1709,4.45,0.051,4.5,1.24,0.03,1.11,0.01,0.99,0.06
283.113970907,44.110966757,8214300,5707.0,4.25,-0.24,16.6057701,2060.1626,5.04,0.073,5.11,0.71,0.01,0.87,0.01,1.03,0.07
283.120441389,44.174380650299994,8214307,6011.0,4.06,-0.26,14.9112606,1869.7810100000002,3.55,0.054,3.61,2.84,0.06,1.56,0.02,1.19,0.08
283.12842408299997,44.1217723022,8214328,5884.0,4.23,-0.49,15.7968302,1797.1984899999998,4.52,0.054,4.58,1.16,0.02,1.04,0.01,1.02,0.07
283.134300018,44.1399279787,8214334,5868.0,4.07,-0.4,15.343604999999998,1972.83179,3.87,0.051,3.92,2.13,0.04,1.42,0.02,1.11,0.07
283.138152955,44.1891152346,8214343,5681.0,4.16,-0.07,15.8882408,2284.96948,4.09,0.075,4.17,1.69,0.03,1.35,0.01,1.1,0.07
283.149785124,44.1038739784,8214367,5355.0,3.93,-0.28,16.161722199999996,3123.90112,3.69,0.018,3.71,2.59,0.05,1.88,0.01,1.05,0.07
283.151561007,44.141067733999996,8214369,5843.0,4.19,-0.3,16.1785259,2483.02686,4.2,0.051,4.25,1.56,0.03,1.22,0.01,1.07,0.07
283.158475481,44.1660786562,8214382,5792.0,4.19,-0.44,16.7938824,2858.0,4.51,0.051,4.56,1.18,0.02,1.08,0.01,1.03,0.07
283.17112222,44.1429974745,8214403,4918.0,3.55,-0.19,14.522480999999999,1883.5125699999999,3.15,0.004,3.15,4.32,0.09,2.87,0.02,1.16,0.07
283.173009454,44.1613009711,8214409,5661.0,3.99,-0.48,15.289565099999999,2400.13843,3.39,0.049,3.44,3.32,0.07,1.9,0.02,1.06,0.07
283.1896803,44.141854661400004,8214438,5691.0,4.03,-0.17,15.219076199999998,1810.9632600000002,3.93,0.075,4.0,1.97,0.04,1.45,0.01,1.14,0.07
283.19988782900003,44.1518126024,8214463,5593.0,4.36,-0.01,16.511175199999997,1988.1076699999999,5.02,0.054,5.07,0.74,0.01,0.92,0.01,1.02,0.07
283.230875963,44.120421172700006,8214525,5462.0,4.48,-0.28,16.648746499999998,1483.1897,5.79,0.034,5.83,0.37,0.01,0.68,0.01,0.9,0.06
283.236106354,44.110806529099996,8214537,4802.0,3.18,0.03,14.236232800000002,2479.93213,2.26,-0.055,2.21,10.29,0.21,4.65,0.02,1.51,0.1
284.11479052,44.1880394616,8216436,5656.0,4.3,-0.62,16.921989399999998,2151.49927,5.26,0.046,5.3,0.59,0.01,0.81,0.01,0.91,0.06
284.121066942,44.1918113726,8216446,5703.0,4.43,-0.38,15.001846300000002,1024.6626,4.95,0.046,5.0,0.79,0.02,0.91,0.01,0.95,0.06
284.124991241,44.1876501483,8216458,5229.0,4.64,-0.22,16.0523739,921.703186,6.23,0.023,6.25,0.25,0.01,0.61,0.0,0.83,0.05
284.127159078,44.1547495603,8216463,5705.0,4.1,-0.48,16.654340700000002,3894.16431,3.7,0.049,3.75,2.49,0.05,1.62,0.02,1.03,0.07
284.14168443,44.1683877493,8216502,5789.0,4.14,-0.28,16.515064199999998,2997.54053,4.13,0.051,4.18,1.67,0.03,1.29,0.01,1.09,0.07
284.14928644599996,44.118530190600005,8216517,6079.0,4.16,-0.25,15.2734299,1770.9552,4.03,0.079,4.11,1.78,0.04,1.21,0.01,1.17,0.07
284.14939477400003,44.178615898800004,8216518,5004.0,3.08,-0.44,15.5483751,9407.01758,0.68,0.001,0.68,41.97,0.85,8.64,0.05,1.55,0.1
284.160222341,44.12994291,8216547,5885.0,4.25,-0.64,17.1470623,2338.70435,5.3,0.052,5.35,0.57,0.01,0.73,0.01,0.98,0.06
284.16953485700003,44.134363655600005,8216570,5855.0,4.17,-0.73,16.4090443,2552.33594,4.37,0.051,4.43,1.34,0.03,1.13,0.01,0.98,0.06
284.176131573,44.1428157249,8216581,5922.0,4.27,-0.41,16.3543777,2031.16821,4.82,0.052,4.87,0.89,0.02,0.9,0.01,1.04,0.07
284.18031499299997,44.1417546372,8216587,5674.0,4.1,-0.32,16.9809628,3879.03857,4.04,0.049,4.09,1.83,0.04,1.4,0.01,1.06,0.07
284.206270821,44.120349323599996,8216633,5741.0,4.25,-0.31,16.3793869,2014.45215,4.86,0.046,4.9,0.86,0.02,0.94,0.01,1.02,0.07
284.211638822,44.1569931003,8216645,4703.0,4.68,-0.25,15.768827400000001,617.28418,6.82,-0.054,6.76,0.16,0.0,0.6,0.0,0.69,0.04
284.21836473,44.1286569833,8216658,5890.0,4.24,0.08,14.7119188,1135.39087,4.44,0.079,4.52,1.23,0.02,1.07,0.01,1.16,0.07
284.220709789,44.161202083999996,8216661,5785.0,4.18,-0.52,17.094005600000006,2973.8703600000013,4.73,0.051,4.78,0.96,0.02,0.98,0.01,1.01,0.06
284.22225673599996,44.1806161139,8216669,5542.0,4.02,-0.29,16.2200184,2366.99414,4.35,0.036,4.38,1.39,0.03,1.28,0.01,1.07,0.07
284.229369093,44.1159816821,8216690,6012.0,4.1,-0.12,14.12819,1449.4561800000001,3.32,0.079,3.4,3.43,0.07,1.71,0.02,1.21,0.08
284.230465208,44.1532915851,8216693,5197.0,4.63,-0.22,16.2188778,1137.80273,5.94,0.023,5.96,0.32,0.01,0.7,0.0,0.82,0.05
284.234032148,44.1079007791,8216698,6580.0,4.02,0.14,14.5159578,2776.53296,2.3,0.109,2.41,8.57,0.17,2.26,0.04,1.51,0.1
284.234948912,44.142187506000006,8216701,5651.0,4.26,-0.45,16.9551525,2463.6752899999997,5.0,0.046,5.04,0.76,0.02,0.91,0.01,0.96,0.06
284.249719804,44.1083045616,8216729,5785.0,4.17,-0.47,16.7279606,2738.1748,4.54,0.051,4.59,1.15,0.02,1.07,0.01,1.02,0.07
284.25705411900003,44.1799537618,8216740,5784.0,4.25,-0.55,17.2159119,2577.33325,5.16,0.051,5.21,0.65,0.01,0.8,0.01,0.98,0.06
284.257287723,44.1834740038,8216741,5760.0,4.1,-0.49,16.887891800000002,4083.18726,3.83,0.051,3.88,2.2,0.04,1.49,0.01,1.04,0.07
284.26598024,44.142739849399995,8216759,5734.0,4.04,-0.71,16.934948000000002,6742.12549,2.79,0.049,2.84,5.76,0.12,2.44,0.02,1.01,0.06
284.268897577,44.1717588092,8216765,5952.0,4.19,-0.52,16.2998772,2258.8088399999997,4.53,0.054,4.58,1.15,0.02,1.01,0.01,1.05,0.07
284.269811218,44.1247762272,8216767,5717.0,4.13,-0.53,17.189312,3835.82056,4.27,0.049,4.32,1.47,0.03,1.24,0.01,1.01,0.06
284.281057524,44.1434909034,8216792,6691.0,4.17,-0.55,16.5932961,4542.603029999998,3.31,0.081,3.39,3.47,0.07,1.39,0.03,1.24,0.08
284.28895482900003,44.1693239407,8216807,5596.0,4.39,-0.17,15.358057999999998,1074.375,5.2,0.054,5.26,0.62,0.01,0.84,0.01,0.97,0.06
284.33483146099996,44.193141508500005,8216916,5313.0,4.54,0.1,14.7403316,681.1444700000002,5.57,0.024,5.6,0.45,0.01,0.8,0.01,0.93,0.06
284.34339526900004,44.1816352242,8216930,6257.0,4.2,-0.26,15.728601500000002,1963.5441899999998,4.26,0.069,4.33,1.46,0.03,1.03,0.01,1.19,0.08
284.35473119700004,44.186646663199994,8216944,5802.0,4.08,-0.98,17.254938100000004,2905.71997,4.94,0.024,4.96,0.81,0.02,0.9,0.01,0.95,0.06
284.369228923,44.1460286621,8216973,5485.0,3.64,-0.54,16.2783852,5010.56836,2.78,0.047,2.83,5.83,0.12,2.68,0.02,1.21,0.08
284.396165096,44.164738046400004,8217022,4695.0,2.72,-0.1,14.042382199999999,3345.7773399999996,1.42,-0.053,1.37,22.35,0.45,7.17,0.03,1.99,0.13
284.4017412,44.1985734898,8217030,4477.0,4.58,-0.23,15.139362300000002,472.250824,6.77,-0.121,6.65,0.17,0.0,0.69,0.0,0.65,0.04
284.420272061,44.134698201800006,8217059,4934.0,4.67,-0.13,15.543041199999998,767.757751,6.12,-0.005,6.11,0.28,0.01,0.73,0.0,0.77,0.05
284.421748845,44.197139273599994,8217062,5842.0,4.05,-0.11,15.1245451,1918.67578,3.71,0.075,3.78,2.41,0.05,1.52,0.02,1.19,0.08
284.428225152,44.158832233199995,8217073,5462.0,4.59,0.03,13.6792927,430.947357,5.51,0.054,5.56,0.47,0.01,0.77,0.01,0.95,0.06
284.43290391700003,44.1750694563,8217088,5733.0,4.17,-0.41,16.2919273,2819.50024,4.04,0.049,4.09,1.82,0.04,1.37,0.01,1.02,0.07
284.43899866,44.1527435119,8217101,5642.0,3.97,-0.1,14.678440099999998,1822.8752399999998,3.37,0.075,3.45,3.28,0.07,1.9,0.02,1.17,0.07
284.440324198,44.1833141391,8217103,5789.0,4.14,-0.4,16.9692078,3775.4265100000002,4.08,0.051,4.14,1.74,0.04,1.32,0.01,1.05,0.07
284.443769609,44.1224190169,8217110,5646.0,4.19,-0.47,17.1088505,2771.87549,4.89,0.049,4.94,0.83,0.02,0.95,0.01,0.98,0.06
284.47429320599997,44.1781648275,8217164,6208.0,4.13,-1.72,17.4379082,5482.82129,3.74,0.02,3.76,2.46,0.05,1.36,0.02,0.86,0.06
284.515053987,44.1679077885,8217254,5486.0,4.39,0.17,15.292720800000001,983.218323,5.33,0.054,5.38,0.55,0.01,0.83,0.01,1.02,0.07
284.52767102,44.1943533963,8217274,5757.0,4.28,-0.27,15.638978,1441.98071,4.84,0.048,4.89,0.87,0.02,0.94,0.01,1.02,0.07
284.543398265,44.1423760163,8217306,5764.0,4.25,-0.19,16.138614699999998,2087.1167,4.54,0.075,4.62,1.12,0.02,1.06,0.01,1.06,0.07
284.550127244,44.1743951893,8217311,6351.0,4.18,-0.36,14.3524199,1334.76123,3.73,0.069,3.79,2.39,0.05,1.28,0.02,1.2,0.08
284.551939097,44.114521330100004,8217313,5898.0,4.33,-0.23,14.7919693,942.528442,4.92,0.077,5.0,0.79,0.02,0.85,0.01,1.05,0.07
284.555130531,44.104106996599995,8217320,6131.0,4.14,-0.68,16.3666077,3858.70044,3.43,0.067,3.5,3.13,0.06,1.57,0.02,1.07,0.07
284.560409508,44.1394207275,8217331,4415.0,4.8,-0.03,14.4716063,314.483704,6.98,-0.11,6.87,0.14,0.0,0.64,0.0,0.65,0.04
284.574676046,44.145022835,8217364,5947.0,4.14,-0.56,16.236036300000002,2549.26855,4.2,0.054,4.26,1.56,0.03,1.18,0.01,1.05,0.07
284.576785098,44.1619921106,8217368,5568.0,4.35,-0.36,15.9311953,1303.70361,5.36,0.034,5.39,0.55,0.01,0.8,0.01,0.94,0.06
284.584018076,44.138831321400005,8217383,5212.0,3.6,-1.41,16.430402800000003,5141.53027,2.87,-0.002,2.87,5.58,0.11,2.91,0.02,0.93,0.06
284.619078063,44.19937000979999,8217481,5637.0,3.9,-0.3,15.7504959,2602.31396,3.67,0.049,3.72,2.55,0.05,1.68,0.02,1.15,0.07
284.636513614,44.1875998125,8217509,5755.0,4.18,-0.69,16.8210182,2787.7260699999997,4.59,0.051,4.65,1.09,0.02,1.05,0.01,0.96,0.06
284.64315228,44.1798371083,8217537,5790.0,4.27,-0.8,17.079523100000007,2159.27637,5.41,0.025,5.43,0.53,0.01,0.72,0.01,0.92,0.06
284.64929211,44.1189394861,8217550,5690.0,4.17,-0.58,17.249856899999994,2953.58447,4.9,0.049,4.95,0.83,0.02,0.94,0.01,0.97,0.06
284.658087155,44.1458713646,8217567,5932.0,4.1,-0.33,16.1614475,3054.93604,3.74,0.054,3.79,2.4,0.05,1.47,0.02,1.13,0.07
284.659455516,44.1546206895,8217569,5808.0,4.12,-0.3,16.965520899999998,4018.32788,3.95,0.051,4.0,1.98,0.04,1.39,0.01,1.09,0.07
284.670956617,44.123481678199994,8217596,5592.0,3.99,-0.57,16.46348,3180.0505399999997,3.95,0.036,3.99,2.0,0.04,1.51,0.01,1.02,0.07
284.678770338,44.1190546893,8217619,5496.0,4.15,-0.71,16.4882526,2427.09155,4.56,0.036,4.6,1.14,0.02,1.18,0.01,0.9,0.06
284.692002196,44.138319554300004,8217652,5964.0,4.12,-0.68,16.6937828,3167.5515100000002,4.19,0.054,4.24,1.58,0.03,1.18,0.01,1.04,0.07
284.701797872,44.190887116499994,8217671,5580.0,3.99,-0.11,14.8814173,1572.5437,3.9,0.056,3.95,2.06,0.04,1.54,0.01,1.14,0.07
284.72760296900003,44.1206979753,8217721,6572.0,4.1,-0.42,16.5810318,7274.82764,2.27,0.079,2.35,9.03,0.18,2.32,0.04,1.28,0.08
284.738777295,44.134296883199994,8217741,5451.0,3.33,-1.21,15.620955499999999,3895.59595,2.67,0.025,2.69,6.59,0.13,2.89,0.02,1.24,0.08
284.743915082,44.10877236970001,8217751,6076.0,4.27,-0.45,14.7208414,1180.15771,4.36,0.052,4.41,1.35,0.03,1.05,0.01,1.07,0.07
284.75632796599996,44.1437669971,8217773,5650.0,4.15,-0.9,17.192937899999997,3412.9975600000002,4.53,0.023,4.55,1.19,0.02,1.14,0.01,0.9,0.06
284.761151632,44.107896268299996,8217780,5251.0,3.48,-1.26,16.498209,7091.59375,2.24,-0.002,2.24,9.98,0.2,3.83,0.03,1.05,0.07
284.764419539,44.1411050834,8217783,5846.0,4.12,-0.69,16.2016563,2916.00854,3.88,0.051,3.93,2.11,0.04,1.42,0.02,1.01,0.06
284.766724854,44.179562148500004,8217786,5860.0,4.2,-0.47,16.7533569,2849.01489,4.48,0.051,4.53,1.21,0.02,1.07,0.01,1.03,0.07
284.7723925,44.1189211433,8217793,5699.0,4.21,-0.76,17.2353477,3214.157230000001,4.7,0.023,4.72,1.02,0.02,1.04,0.01,0.92,0.06
284.773962543,44.1023904324,8217799,5695.0,4.13,-0.41,16.5372772,2987.094730000001,4.16,0.049,4.21,1.63,0.03,1.31,0.01,1.03,0.07
284.774611995,44.1234216972,8217800,5750.0,4.05,-0.48,16.854805,3375.2766100000013,4.21,0.051,4.26,1.55,0.03,1.26,0.01,1.06,0.07
284.778008117,44.192735025,8217805,5647.0,4.3,0.05,14.48944,886.6004640000001,4.75,0.073,4.82,0.93,0.02,1.01,0.01,1.06,0.07
