RA,DEC,kic_kepler_id,Tef,logg,[Fe/H],m_g,dist(pc),M_g,BC,M_bol,L,e_L,R,e_R,M,e_M
281.598585906,42.126965409499995,6664972,4595.0,3.14,0.02,14.1933517,2139.72217,2.54,-0.124,2.42,8.49,0.17,4.61,0.02,1.44,0.09
281.609669458,42.1343974579,6664986,5549.0,4.25,-0.13,16.7312336,2323.37305,4.9,0.054,4.95,0.82,0.02,0.98,0.01,1.01,0.06
281.637935031,42.168126527,6665048,5785.0,3.94,-0.26,14.175115599999998,1501.38391,3.29,0.052,3.34,3.62,0.07,1.9,0.02,1.19,0.08
281.646504247,42.1706250457,6665059,5744.0,4.17,-0.52,16.0966949,2073.47925,4.51,0.049,4.56,1.18,0.02,1.1,0.01,1.0,0.06
281.646991749,42.192685652899996,6665062,4997.0,3.43,-0.55,14.874967600000002,2006.3703600000001,3.36,0.003,3.37,3.55,0.07,2.52,0.01,1.18,0.08
281.684593779,42.1921852685,6665115,6522.0,4.11,-0.43,15.388570800000002,3732.90747,2.53,0.079,2.61,7.13,0.14,2.1,0.03,1.26,0.08
281.686380321,42.1458912869,6665122,5470.0,4.3,-0.02,16.2929115,2405.98633,4.39,0.054,4.44,1.32,0.03,1.28,0.01,1.0,0.06
281.69557941,42.1384621149,6665134,5863.0,4.23,-0.42,15.5664492,1539.94409,4.63,0.051,4.68,1.06,0.02,1.0,0.01,1.04,0.07
281.70020384,42.1786055018,6665138,5492.0,4.46,-0.19,15.4692841,1006.35822,5.46,0.054,5.51,0.49,0.01,0.78,0.01,0.93,0.06
281.700472997,42.1728252906,6665139,5436.0,4.45,-0.15,16.264963199999997,1454.92346,5.45,0.054,5.5,0.49,0.01,0.79,0.01,0.92,0.06
281.712466157,42.1052697048,6665159,5644.0,4.18,-0.46,17.092571300000003,3306.04443,4.5,0.049,4.54,1.2,0.02,1.15,0.01,0.99,0.06
281.715250451,42.159188035300005,6665166,5491.0,4.47,-0.14,14.507796300000004,871.3718259999997,4.81,0.054,4.86,0.89,0.02,1.05,0.01,0.94,0.06
281.75497664700003,42.199177078299996,6665253,5756.0,4.2,-0.08,15.9062462,1980.19409,4.42,0.075,4.5,1.25,0.03,1.13,0.01,1.1,0.07
281.771121782,42.1809656554,6665283,5577.0,4.03,-0.27,16.3424206,3337.00684,3.73,0.036,3.76,2.46,0.05,1.69,0.01,1.07,0.07
281.805130519,42.1432427525,6665339,5342.0,4.49,0.06,15.801725400000002,1231.35522,5.35,0.025,5.37,0.56,0.01,0.87,0.01,0.94,0.06
